time,temperature_2m,relative_humidity_2m,pressure_msl,wind_speed_10m,wind_direction_10m,precipitation,cloud_cover
2023-06-26 00:00:00,15.9,71.0,1016.1,19.2,262.0,0.0,0.0
2023-06-26 01:00:00,15.2,77.0,1016.5,17.4,263.0,0.0,1.0
2023-06-26 02:00:00,14.6,81.0,1016.8,15.0,259.0,0.0,0.0
2023-06-26 03:00:00,14.0,85.0,1017.1,13.4,256.0,0.0,1.0
2023-06-26 04:00:00,13.6,88.0,1017.6,12.5,252.0,0.0,9.0
2023-06-26 05:00:00,14.4,85.0,1018.0,14.2,249.0,0.0,1.0
2023-06-26 06:00:00,15.8,76.0,1018.5,17.6,259.0,0.0,72.0
2023-06-26 07:00:00,17.1,70.0,1019.0,18.7,272.0,0.0,96.0
2023-06-26 08:00:00,18.2,62.0,1019.2,18.1,277.0,0.0,67.0
2023-06-26 09:00:00,19.6,55.0,1019.3,17.8,278.0,0.0,60.0
2023-06-26 10:00:00,20.6,49.0,1019.7,19.8,272.0,0.0,50.0
2023-06-26 11:00:00,21.5,43.0,1020.0,21.2,269.0,0.0,100.0
2023-06-26 12:00:00,21.8,42.0,1020.4,20.5,271.0,0.0,100.0
2023-06-26 13:00:00,22.4,38.0,1020.5,22.3,272.0,0.0,99.0
2023-06-26 14:00:00,21.5,38.0,1020.3,23.5,266.0,0.0,100.0
2023-06-26 15:00:00,21.4,40.0,1020.5,22.7,266.0,0.0,100.0
2023-06-26 16:00:00,22.0,38.0,1020.4,22.0,271.0,0.0,100.0
2023-06-26 17:00:00,21.5,38.0,1020.1,21.6,272.0,0.0,100.0
2023-06-26 18:00:00,20.9,40.0,1020.3,20.9,281.0,0.0,100.0
2023-06-26 19:00:00,20.2,43.0,1020.8,15.8,282.0,0.0,100.0
2023-06-26 20:00:00,19.1,47.0,1021.2,12.0,279.0,0.0,100.0
2023-06-26 21:00:00,18.0,51.0,1021.6,11.2,266.0,0.0,100.0
2023-06-26 22:00:00,17.5,59.0,1022.1,13.4,265.0,0.0,100.0
2023-06-26 23:00:00,16.2,66.0,1022.0,11.8,258.0,0.0,82.0
2023-06-27 00:00:00,15.2,72.0,1022.3,10.4,268.0,0.0,100.0
2023-06-27 01:00:00,15.1,75.0,1022.3,9.5,261.0,0.0,100.0
2023-06-27 02:00:00,15.3,75.0,1022.1,9.1,252.0,0.0,100.0
2023-06-27 03:00:00,15.2,77.0,1022.0,8.7,253.0,0.0,100.0
2023-06-27 04:00:00,14.1,83.0,1022.0,6.8,245.0,0.0,100.0
2023-06-27 05:00:00,14.6,83.0,1022.2,9.5,245.0,0.0,100.0
2023-06-27 06:00:00,15.7,77.0,1022.1,9.8,246.0,0.0,99.0
2023-06-27 07:00:00,16.9,72.0,1022.2,11.2,255.0,0.0,100.0
2023-06-27 08:00:00,18.3,63.0,1022.0,11.5,256.0,0.0,50.0
2023-06-27 09:00:00,19.9,54.0,1021.9,13.8,250.0,0.0,88.0
